wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
25052083,"First Church of Christ, Scientist (Cambridge, Massachusetts)","https://en.wikipedia.org/wiki/First_Church_of_Christ,_Scientist_(Cambridge,_Massachusetts)",42.378242,-71.120898,contained,0.00,1,252-22,252-22,strong,approved,Preserved human approved decision.,,42.378242,-71.120898
25258269,Watson's Corner,https://en.wikipedia.org/wiki/Watson%27s_Corner,42.39266666666666,-71.12497222222221,nearest,17.85,1,77-4,77-4,ambiguous,rejected,Preserved human rejected decision.,,42.39266666666666,-71.12497222222221
25282404,The Plough and Stars,https://en.wikipedia.org/wiki/The_Plough_and_Stars,42.36830555555556,-71.10872222222221,nearest,4.66,1,539-6,539-6,ambiguous,approved,Preserved human approved decision.,,42.36830555555556,-71.10872222222221
27292446,Kendall Band,https://en.wikipedia.org/wiki/Kendall_Band,42.3623,-71.0862,nearest,2.61,1,674-4,674-4,ambiguous,rejected,Preserved human rejected decision.,,42.3623,-71.0862
28490481,Millers River (Middlesex),https://en.wikipedia.org/wiki/Millers_River_(Middlesex),42.370555555555555,-71.06563888888888,none,,0,,,unmatched,rejected,Preserved human rejected decision.,,42.370555555555555,-71.06563888888888
28581521,Community Charter School of Cambridge,https://en.wikipedia.org/wiki/Community_Charter_School_of_Cambridge,42.367425,-71.08451666666666,nearest,5.66,1,543-17,543-17,ambiguous,rejected,Preserved human rejected decision.,,42.367425,-71.08451666666666
29172488,Gift of the Wind,https://en.wikipedia.org/wiki/Gift_of_the_Wind,42.38851388888889,-71.11927777777777,none,,0,,,unmatched,rejected,Preserved human rejected decision.,,42.38851388888889,-71.11927777777777
29354120,Harvard Bixi,https://en.wikipedia.org/wiki/Harvard_Bixi,42.37361111111111,-71.11694444444444,nearest,9.99,1,318-24,318-24,ambiguous,rejected,Preserved human rejected decision.,,42.37361111111111,-71.11694444444444
29546700,Charlie's Kitchen,https://en.wikipedia.org/wiki/Charlie%27s_Kitchen,42.37245,-71.1215,nearest,0.99,1,396-5,396-5,ambiguous,rejected,Preserved human rejected decision.,,42.37245,-71.1215
29926628,Cambridge Montessori School,https://en.wikipedia.org/wiki/Cambridge_Montessori_School,42.3859,-71.1326,nearest,6.71,1,123-9,123-9,ambiguous,approved,Preserved human approved decision.,,42.3859,-71.1326
30369669,Francis Russell Hart Nautical Museum,https://en.wikipedia.org/wiki/Francis_Russell_Hart_Nautical_Museum,42.35853888888889,-71.09315,nearest,14.86,1,668-5,668-5,ambiguous,rejected,Preserved human rejected decision.,,42.35853888888889,-71.09315
30502543,Tory Row,https://en.wikipedia.org/wiki/Tory_Row,42.376472222222226,-71.12658333333333,none,,0,,,unmatched,rejected,Preserved human rejected decision.,,42.376472222222226,-71.12658333333333
