wikipedia_page_id,wikipedia_title,wikipedia_url,latitude,longitude,match_method,match_distance_meters,candidate_count,candidate_bldgids,matched_bldgid,confidence_status,decision_status,review_reason,previous_title,previous_latitude,previous_longitude
2685492,Alewife Brook Reservation,https://en.wikipedia.org/wiki/Alewife_Brook_Reservation,42.3973186,-71.1422757,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
2852088,"East Cambridge, Cambridge, Massachusetts","https://en.wikipedia.org/wiki/East_Cambridge,_Cambridge,_Massachusetts",42.36666666666667,-71.08,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
3372668,Cambridge College,https://en.wikipedia.org/wiki/Cambridge_College,42.36888888888889,-71.11088888888888,contained,0.00,1,489-18,489-18,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
3372715,Lesley University,https://en.wikipedia.org/wiki/Lesley_University,42.37999444444444,-71.11711944444444,nearest,0.26,1,243-24,243-24,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
3494688,MIT Science Fiction Society,https://en.wikipedia.org/wiki/MIT_Science_Fiction_Society,42.35916666666667,-71.09444444444443,contained,0.00,1,708-18,708-18,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
3514644,CambridgeSide,https://en.wikipedia.org/wiki/CambridgeSide,42.3675,-71.0761111111111,contained,0.00,1,468-8,468-8,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
3789783,WNTN,https://en.wikipedia.org/wiki/WNTN,42.38704166666667,-71.1386638888889,contained,0.00,1,126-6,126-6,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
4027302,Mary Prentiss Inn,https://en.wikipedia.org/wiki/Mary_Prentiss_Inn,42.38431,-71.11885,contained,0.00,1,173-15,173-15,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
4109017,Cambridge Common,https://en.wikipedia.org/wiki/Cambridge_Common,42.37651,-71.12049,none,,0,,,unmatched,needs_review,No building footprint is within 25 meters.,,,
4125254,Memorial Drive (Cambridge),https://en.wikipedia.org/wiki/Memorial_Drive_(Cambridge),42.363055555555555,-71.11611111111111,nearest,19.94,1,637-5,637-5,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
4391692,Harvard–MIT Program in Health Sciences and Technology,https://en.wikipedia.org/wiki/Harvard%E2%80%93MIT_Program_in_Health_Sciences_and_Technology,42.36169,-71.08694,contained,0.00,1,672-8,672-8,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
4529075,First Parish in Cambridge,https://en.wikipedia.org/wiki/First_Parish_in_Cambridge,42.374583333333334,-71.11925,contained,0.00,1,319-19,319-19,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
4895598,ImprovBoston,https://en.wikipedia.org/wiki/ImprovBoston,42.366083333333336,-71.1033611111111,nearest,2.84,1,596-4,596-4,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
4972477,Harvard Art Museums,https://en.wikipedia.org/wiki/Harvard_Art_Museums,42.3742,-71.1147,nearest,20.43,1,333-1,333-1,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
5536866,Alvan Clark & Sons,https://en.wikipedia.org/wiki/Alvan_Clark_%26_Sons,42.35528,-71.10927,contained,0.00,1,749-1,749-1,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
5774724,Charles River Reservation,https://en.wikipedia.org/wiki/Charles_River_Reservation,42.3539862,-71.1119968,nearest,5.59,1,999-3393,999-3393,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
6046830,University Park at MIT,https://en.wikipedia.org/wiki/University_Park_at_MIT,42.3618,-71.1008,nearest,9.10,1,687-1,687-1,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
6098995,Lumen Eclipse,https://en.wikipedia.org/wiki/Lumen_Eclipse,42.3734,-71.1191,nearest,2.67,1,999-878,999-878,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
6200247,"The Port, Cambridge","https://en.wikipedia.org/wiki/The_Port,_Cambridge",42.36694444444444,-71.09777777777778,nearest,5.13,1,579-30,579-30,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
6222330,Harvard Book Store,https://en.wikipedia.org/wiki/Harvard_Book_Store,42.3725,-71.1164,contained,0.00,1,401-2,401-2,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
6250722,MIT Department of Physics,https://en.wikipedia.org/wiki/MIT_Department_of_Physics,42.3597177,-71.0908492,contained,0.00,1,999-5042,999-5042,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
6315034,Kerry Corner,https://en.wikipedia.org/wiki/Kerry_Corner,42.36833333333333,-71.11472222222221,nearest,6.88,1,513-3,513-3,ambiguous,needs_review,Nearest footprint is within 25 meters and requires review.,,,
6473235,Orson Welles Cinema,https://en.wikipedia.org/wiki/Orson_Welles_Cinema,42.36972222222222,-71.11138888888888,contained,0.00,1,453-3,453-3,strong,needs_review,Article coordinate is contained by exactly one building footprint.,,,
